run_id,freeze,Q,L,contr,vicreg,n_epochs,peak_gap,peak_ep,warm_gap,warm_ep,final_gap,min_after_peak,final_gene_loss,verdict,done
fzT_thenU5_vic0_contr0_q128_predL3,true,128,3,0,0/0,10,0.10511178523302078,4,0.06024465337395668,5,0.04922981932759285,0.03640220686793327,0.026425179094076157,FAIL,True
fzT_thenU5_vic0_contr0_q64_predL2,true,64,2,0,0/0,10,0.09985057264566422,4,0.0698259174823761,5,0.04914991930127144,0.04857201129198074,0.01718585006892681,FAIL,True
fzT_thenU5_vic1_contr0_q128_predL3,true,128,3,0,1.0/0.04,10,0.10501331090927124,4,0.05911015346646309,5,0.048788122832775116,0.03316359594464302,0.025460604578256607,FAIL,True
fzT_thenU5_vic0_contr0_q256_predL3,true,256,3,0,0/0,10,0.10978814214468002,4,0.060992494225502014,8,0.04825926944613457,0.0357210636138916,0.0167937520891428,FAIL,True
fzT_thenU5_vic1_contr0_q256_predL3,true,256,3,0,1.0/0.04,10,0.109893299639225,4,0.05937551334500313,5,0.04683993384242058,0.0366521030664444,0.01630084589123726,FAIL,True
fzT_thenU5_vic1_contr0.3_q64_predL1,true,64,1,0.3,1.0/0.04,10,0.09464074671268463,5,0.09464074671268463,5,0.04378248751163483,0.029583092778921127,0.05706208944320679,FAIL,True
fzT_thenU5_vic1_contr0_q64_predL2,true,64,2,0,1.0/0.04,10,0.0998372808098793,4,0.07771925628185272,5,0.041415415704250336,0.041415415704250336,0.015577309764921665,FAIL,True
fzT_thenU5_vic0_contr0_q128_predL4,true,128,4,0,0/0,10,0.10692472755908966,4,0.04986767843365669,5,0.04040446877479553,0.028395725414156914,0.0199589766561985,FAIL,True
fzT_thenU5_vic1_contr0.3_q256_predL6,true,256,6,0.3,1.0/0.04,10,0.07131663709878922,4,0.042606763541698456,5,0.03944839909672737,0.029544701799750328,0.08973363041877747,FAIL,True
fzT_thenU5_vic1_contr0_q128_predL4,true,128,4,0,1.0/0.04,10,0.10687576234340668,4,0.04769786447286606,5,0.03752373158931732,0.026800984516739845,0.019188761711120605,FAIL,True
fzT_thenU5_vic0_contr0_q256_predL4,true,256,4,0,0/0,10,0.11157495528459549,4,0.04446173086762428,5,0.03459591418504715,0.02670217864215374,0.01080962736159563,FAIL,True
fzT_thenU5_vic0_contr0_q64_predL3,true,64,3,0,0/0,10,0.10073734074831009,4,0.05861149728298187,5,0.031753700226545334,0.031753700226545334,0.013204253278672695,FAIL,True
fzT_thenU5_vic1_contr0_q256_predL4,true,256,4,0,1.0/0.04,10,0.11138603091239929,4,0.04149334132671356,5,0.031024862080812454,0.02382650598883629,0.009678947739303112,FAIL,True
fzT_thenU5_vic0_contr0_q256_predL5,true,256,5,0,0/0,10,0.11612515151500702,4,0.042067594826221466,5,0.029783956706523895,0.024433275684714317,0.009005624800920486,FAIL,True
